IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2006152169,178.63,0,0,GALICIA,A CORUÑA,BARBANZA,BOIRO,42.700129,-8.928184,8/10/2006,2040,4325,4,Sin datos,120,8,2,0,889103
2011330877,178.5,0,0,ASTURIAS,ASTURIAS,NARCEA,TINEO,43.422796,-6.596166,4/16/2011,621,650,4,Provocados por pastores y ganaderos para regenerar el pasto,18,0,2,0,0
2008050066,178.4,0,0,CASTILLA Y LEON,AVILA,EL BARCO DE AVILA,NAVALPERAL DE TORMES,40.390014,-5.29678,3/21/2008,780,990,4,Provocados por pastores y ganaderos para regenerar el pasto,41,1,2,0,0
2011322279,177.85,0,0,GALICIA,OURENSE,MIÑO-ARNOIA,MACEDA,42.270271,-7.696763,10/14/2011,2380,2700,4,Otras motivaciones,30,4,4,0,16777
2005030124,177.8,0,0,C. VALENCIANA,ALICANTE,L ALACANTI,TORRE DE LES MAÇANES,38.606487,-0.410537,8/17/2005,710,2150,4,Sin datos,210,22,15,0,208156
2009100704,177.37,0,0,EXTREMADURA,CACERES,AMBROZ-JERTE Y TIETAR,ARROYOMOLINOS DE LA VERA,40.070178,-5.863797,9/12/2009,2665,3030,5,CAUSA DESCONOCIDA,115,9,9,0,0
2001490139,177.3,0,0,CASTILLA Y LEON,ZAMORA,ALCAÑICES,MUELAS DEL PAN,41.549507,-5.994012,8/7/2001,0,0,4,Sin datos,65,4,7,0,0
2002390215,177.29,0,0,CANTABRIA,CANTABRIA,COMARCA 13,SAN VICENTE DE LA BARQUERA,43.369591,-4.392409,2/2/2002,720,780,4,Provocados por pastores y ganaderos para regenerar el pasto,9,1,0,450,206860
2008240447,177.25,0,0,CASTILLA Y LEON,LEON,BEMBIBRE,CASTROPODAME,42.585385,-6.465063,8/13/2008,411,1714,2,QUEMA PARA REG. PASTOS (OTRAS QUEMAS PARA PASTOS),103,6,8,0,0
2002140036,177.15,0,0,ANDALUCIA,CORDOBA,VALLE DE LOS PEDROCHES,HINOJOSA DEL DUQUE,38.424028,-5.297366,6/24/2002,0,0,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),31,3,5,0,0
2004370047,177,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,VILLARINO DE LOS AIRES,41.225947,-6.437589,6/15/2004,690,1470,4,Sin datos,36,3,1,0,0
2005160242,177,0,0,CASTILLA-MANCHA,CUENCA,MANCHA ALTA,TORREJONCILLO DEL REY,40.053022,-2.561973,7/21/2005,350,1820,3,MOTORES Y MÁQUINAS (OTROS),61,13,6,31170,12304
2002240085,176,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,CORULLON,42.576302,-6.854348,3/23/2002,1350,1350,2,QUEMA PARA REG. PASTOS (SIN ESPECIFICAR),2,0,0,0,0
2002322294,176,0,0,GALICIA,OURENSE,A LIMIA,BLANCOS,41.972152,-7.774115,7/31/2002,740,1400,4,Sin datos,46,0,10,0,135125
2008270049,176,0,0,GALICIA,LUGO,TERRA DE LEMOS,QUIROGA,42.569589,-7.094943,2/18/2008,1053,1078,4,Provocados por pirómanos,54,4,4,0,134853
2005430122,175.57,0,1,CATALUÑA,TARRAGONA,PRIORAT,MARGALEF,41.306945,0.764157,5/26/2005,1875,2775,2,QUEMA AGRÍCOLA (SIN ESPECIFICAR),220,47,9,0,0
2003190155,175.53,0,0,CASTILLA-MANCHA,GUADALAJARA,SIERRA,CARDOSO DE LA SIERRA,41.19686,-3.442201,8/5/2003,2438,4348,1,RAYO,174,5,13,36460,14983
2009440083,175.5,0,0,ARAGON,TERUEL,MATARRAÑA/MATARRANYA,VALDELTORMO,40.9573,0.082904,7/22/2009,4790,17765,1,RAYO,221,9,6,50646,1401913
2005210228,175.36,0,0,ANDALUCIA,HUELVA,SIERRA DE HUELVA,CUMBRES MAYORES,38.063449,-6.614663,8/15/2005,255,390,2,ESCAPE DE VERTEDERO,82,10,10,0,0
2001100638,175,0,0,EXTREMADURA,CACERES,AMBROZ-JERTE Y TIETAR,CABEZUELA DEL VALLE,40.17928,-5.756584,8/27/2001,580,1930,5,CAUSA DESCONOCIDA,42,5,6,0,0
2002490214,175,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,PEDRALBA DE LA PRADERIA,41.983484,-6.68665,5/20/2002,540,570,4,Sin datos,8,0,1,1118,0
2003331774,175,0,0,ASTURIAS,ASTURIAS,NARCEA,TINEO,43.339334,-6.482449,9/17/2003,5760,6600,6,INCENDIO REPRODUCIDO,31,2,3,0,3243
2005322872,175,0,0,GALICIA,OURENSE,VERIN-VIANA,VIANA DO BOLO,42.205673,-8.100311,8/16/2005,1030,1085,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,17,1,5,0,0
2011290098,175,0,0,ANDALUCIA,MALAGA,MALAGA,MÁLAGA,36.772124,-4.374713,8/26/2011,420,1920,4,Provocados por venganzas,374,28,21,0,0
